School Name	Address	lat	long	rank
Langley High School	6520 GEORGETOWN PK MCLEAN VA 22101 	38.950822	-77.165587	84
Jones College Prep	606 SOUTH STATE ST CHICAGO IL 60605 	41.8742818	-87.6280242	85
William A. Shine Great Neck South High School	341 LAKEVILLE RD GREAT NECK NY 11020 	40.7635314	-73.7046555	86
Walnut Hills High School	3250 VICTORY PARKWAY CINCINNATI OH 45207 	39.1427024	-84.480923	87
Suncoast Community High School	600 WEST 28TH ST RIVIERA BEACH FL 33404 	26.785676	-80.065066	88
Hawthorne Math and Science Academy	4467 WEST BROADWAY HAWTHORNE CA 90250 	33.920399	-118.354301	89
Paxon School for Advanced Studies	3239 NORMAN EAST THAGARD BLVD JACKSONVILLE FL 32254 	30.3438748	-81.7235367	90
Newport High School	4333 FACTORIA BLVD SE BELLEVUE WA 98006 	47.5679585	-122.1722352	91
University High School	9419 WEST VAN BUREN ST TOLLESON AZ 85353 	33.448386	-112.264489	92
Edgewood Junior-​Senior High School	180 EAST MERRITT AVE MERRITT ISLAND FL 32953 	28.3618584	-80.6954399	93
California Academy Of Mathematics And Science	1000 EAST VICTORIA ST CARSON CA 90747 	33.8672351	-118.2546498	94
Alliance Dr. Olga Mohan High School	644 WEST 17TH ST LOS ANGELES CA 90015 	34.0369274	-118.2718877	95
MAST Academy	3979 RICKENBACKER CAUSEWAY KEY BISCAYNE FL 33149 	25.7390149	-80.166327	96
Laredo Early College High School	5201 UNIVERSITY BLVD LAREDO TX 78041 	27.5734834	-99.4350028	97
Wyoming High School	106 PENDERY AVE WYOMING OH 45215 	39.235957	-84.4693659	98
Poolesville High School	17501 WILLARD RD POOLESVILLE MD 20837 	39.142804	-77.418714	99
Harbor Teacher Preparation Academy	1111 FIGUEROA  PLACE WILMINGTON CA 90744 	33.7838058	-118.2813266	100
James Madison High School	2500 JAMES MADISON DR VIENNA VA 22181 	38.8964568	-77.2785044	101
Highland Park High School	4220 EMERSON AVE DALLAS TX 75205 	32.8463712	-96.8078279	102
Ridgeview Classical Schools	1800 SOUTH LEMAY AVE FORT COLLINS CO 80525 	40.5627629	-105.057016	103
Edgemont Junior-​Senior High School	200 WHITE OAK LN SCARSDALE NY 10583 	40.9985034	-73.8120694	104
Thomas S. Wootton High School	2100 WOOTTON PARKWAY ROCKVILLE MD 20850 	39.0765599	-77.182968	105
Richard Montgomery High School	250 RICHARD MONTGOMERY DR ROCKVILLE MD 20852 	39.078452	-77.14644	106
Mclean High School	1633 DAVIDSON RD MCLEAN VA 22101 	38.9265445	-77.1842551	107
The Wheatley School	11 BACON RD OLD WESTBURY NY 11568 	40.7632887	-73.6177616	108
Monta Vista High School	21840 MCCLELLAN RD CUPERTINO CA 95014 	37.3143004	-122.0572686	109
Booker T. Washington High School for the Performing and Visual Arts	3434 SOUTH R L THORNTON DALLAS TX 75224 	32.7259551	-96.8263787	110
South Texas High School for Health Professions	700 MED HIGH DR MERCEDES TX 78570 	26.1557503	-97.9400371	111
Los Angeles Center For Enriched Studies	5931 WEST 18TH ST LOS ANGELES CA 90035 	34.043574	-118.371763	112
Martin Luther King Jr. Magnet at Pearl High School	613 17TH AVE NORTH NASHVILLE TN 37203 	36.161865	-86.801148	113
Douglas Anderson School Of The Arts	2445 SAN DIEGO RD JACKSONVILLE FL 32207 	30.300986	-81.638116	114
